Student ID,student_name,gender,grade,school_name,reading_score,math_score
0,Paul Bradley,M,9th,Huang High School,66.0,79.0
1,Victor Smith,M,12th,Huang High School,94.0,61.0
2,Kevin Rodriguez,M,12th,Huang High School,90.0,60.0
3,grade Richard Scott,M,12th,Huang High School,67.0,58.0
4,Bonnie Ray,F,9th,Huang High School,97.0,84.0
5,Bryan Miranda,M,9th,Huang High School,94.0,94.0
6,Sheena Carter,F,11th,Huang High School,82.0,80.0
7,Nicole Baker,F,12th,Huang High School,96.0,69.0
8,Michael Roth,M,10th,Huang High School,95.0,87.0
9,Matthew Greene,M,10th,Huang High School,96.0,84.0
10,Andrew Alexander,M,10th,Huang High School,90.0,70.0
11,Daniel Cooper,M,10th,Huang High School,78.0,77.0
12,Brittney Walker,F,9th,Huang High School,64.0,79.0
13,William Long,M,9th,Huang High School,71.0,79.0
14,Tammy Hebert,F,10th,Huang High School,85.0,67.0
15,grade Jordan Carson,M,11th,Huang High School,94.0,88.0
16,Donald Zamora,M,9th,Huang High School,88.0,55.0
17,Kimberly Santiago,F,9th,Huang High School,74.0,75.0
18,Kevin Stevens,M,9th,Huang High School,64.0,69.0
19,Brandi Lyons,F,9th,Huang High School,89.0,80.0
20,Lisa Davis,F,10th,Huang High School,91.0,89.0
21,Kristen Lopez,F,10th,Huang High School,90.0,77.0
22,Kimberly Stewart,F,11th,Huang High School,99.0,84.0
23,Christopher Parker,M,9th,Huang High School,81.0,68.0
24,Chelsea Griffith,F,11th,Huang High School,85.0,73.0
25,Cesar Morris,M,9th,Huang High School,92.0,70.0
26,Melanie Decker,F,9th,Huang High School,63.0,85.0
27,Tracey Oconnor,F,10th,Huang High School,80.0,58.0
28,Kelly James,F,11th,Huang High School,73.0,55.0
29,Nicole Brown,F,12th,Huang High School,90.0,88.0
30,Bobby Harris,M,9th,Huang High School,94.0,99.0
31,Brian Fernandez,M,10th,Huang High School,97.0,65.0
32,Candace Phelps,F,11th,Huang High School,93.0,90.0
33,Amy Gonzalez,F,12th,Huang High School,95.0,68.0
34,Steven Green,M,11th,Huang High School,65.0,74.0
35,Benjamin Carlson,M,10th,Huang High School,99.0,61.0
36,Kevin Bailey,M,10th,Huang High School,76.0,76.0
37,Jesse Newton,M,10th,Huang High School,63.0,66.0
38,Kimberly Mercado,F,12th,Huang High School,73.0,77.0
39,Gregory Roberts,M,9th,Huang High School,80.0,61.0
40,Matthew Mayer,M,9th,Huang High School,79.0,69.0
41,Jennifer Parks,F,11th,Huang High School,85.0,95.0
42,John Carlson,M,9th,Huang High School,65.0,89.0
43,Megan Roberts,F,9th,Huang High School,66.0,90.0
44,Debra Flores,F,10th,Huang High School,75.0,66.0
45,Heidi Jackson,F,11th,Huang High School,64.0,93.0
46,Denise Bradford,F,12th,Huang High School,73.0,59.0
47,Ellen Brown,F,11th,Huang High School,77.0,81.0
48,Amy Perkins,F,9th,Huang High School,76.0,66.0
49,Natalie Mitchell,F,10th,Huang High School,73.0,93.0
50,Tiffany Gutierrez,F,10th,Huang High School,82.0,95.0
51,Jennifer Hess,F,11th,Huang High School,91.0,56.0
52,Christine Fletcher,F,12th,Huang High School,69.0,78.0
53,Jon Smith,M,9th,Huang High School,96.0,69.0
54,Tracey Yates,F,9th,Huang High School,83.0,68.0
55,Jerry Gordon,M,12th,Huang High School,95.0,71.0
56,Michael Cox,M,11th,Huang High School,72.0,72.0
57,Madeline Snyder grade,F,9th,Huang High School,97.0,56.0
58,Allison King,F,11th,Huang High School,74.0,84.0
59,Theresa Meyer,F,9th,Huang High School,88.0,70.0
60,Jared Wood,M,9th,Huang High School,63.0,89.0
61,Eric Maynard,M,9th,Huang High School,64.0,95.0
62,Mark Owens,M,11th,Huang High School,74.0,65.0
63,Ronnie Conley,M,11th,Huang High School,77.0,61.0
64,Kimberly Davis,F,12th,Huang High School,87.0,57.0
65,Amy Mitchell,F,11th,Huang High School,74.0,60.0
66,grade Dylan Taylor grade,M,10th,Huang High School,77.0,93.0
67,Elizabeth Henderson,F,12th,Huang High School,70.0,60.0
68,James Lopez,M,12th,Huang High School,65.0,82.0
69,Michael Morgan,M,11th,Huang High School,75.0,89.0
70,Angela Francis,F,12th,Huang High School,70.0,60.0
71,Breanna Taylor,F,10th,Huang High School,93.0,68.0
72,Jason Johnson,M,12th,Huang High School,82.0,65.0
73,Kyle Martin,M,10th,Huang High School,72.0,94.0
74,grade Scott Gill,M,10th,Huang High School,85.0,85.0
75,Lisa Long,F,10th,Huang High School,87.0,62.0
76,Erin Liu,F,9th,Huang High School,78.0,76.0
77,Marcus Richards,M,12th,Huang High School,83.0,76.0
78,Jason Thompson,M,12th,Huang High School,99.0,57.0
79,Elizabeth Mckinney,F,9th,Huang High School,74.0,81.0
80,Jessica Bailey,F,10th,Huang High School,67.0,70.0
81,Lisa Frye,F,12th,Huang High School,94.0,73.0
82,Lindsey Baker,F,11th,Huang High School,81.0,57.0
83,Lisa Ramirez,F,12th,Huang High School,64.0,76.0
84,Joseph Butler,M,10th,Huang High School,77.0,63.0
85,Tina Lynch,F,10th,Huang High School,94.0,60.0
86,Leah Benitez,F,10th,Huang High School,93.0,84.0
87,Elizabeth Parker,F,10th,Huang High School,85.0,56.0
88,Melissa Hunter,F,10th,Huang High School,90.0,70.0
89,grade Madison Everett,F,11th,Huang High School,70.0,78.0
90,Ronald Garcia,M,9th,Huang High School,99.0,86.0
91,Mark Cherry,M,10th,Huang High School,96.0,98.0
92,Ryan Stokes,M,9th,Huang High School,75.0,72.0
93,Isaiah Maldonado,M,10th,Huang High School,84.0,91.0
94,Micheal Dennis,M,12th,Huang High School,86.0,61.0
95,Kevin Martinez,M,11th,Huang High School,89.0,58.0
96,Jessica Smith,F,9th,Huang High School,77.0,72.0
97,Dawn Trujillo,F,11th,Huang High School,82.0,87.0
98,Virginia Ramirez grade,F,10th,Huang High School,99.0,89.0
99,Marc Hernandez,M,10th,Huang High School,87.0,63.0
100,Jose Gonzalez,M,12th,Huang High School,69.0,67.0
101,Jason Dennis,M,10th,Huang High School,72.0,57.0
102,Gary Morris,M,11th,Huang High School,74.0,58.0
103,William Mcdonald,M,12th,Huang High School,86.0,74.0
104,Michael Savage,M,9th,Huang High School,75.0,66.0
105,Alexis Todd,F,11th,Huang High School,82.0,95.0
106,David Hansen,M,10th,Huang High School,76.0,86.0
107,Steven Mendez,M,12th,Huang High School,68.0,88.0
